#,Timestamp Unix,Timestamp ISO,Address,Type,Amount as Text,Amount,Currency,Currency issuer,USD Amount equavalent,Direction,Transfer fee as Text,Transfer fee,Transfer fee currency,Transfer fee currency issuer,USD Transfer Fee equavalent,Tx fee as Text,Tx fee,Tx fee currency,USD Tx Fee equavalent,Memo,Tx
1,1738689812,2025-02-04T17:23:32.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,"1,640  OAR ",1640,4F41520000000000000000000000000000000000,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,0.043988785,received,,,,,0,,0,XRP,0,Tipper NFT Faucet : PARC,9LJ9UDH1HYG69U4NFFFHP2YNL0CW0PM43UDRXA6NWYO8QW69DV71OL0FZHC2HRW3
2,1738689812,2025-02-04T17:23:32.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,801  OAR ,801,4F41520000000000000000000000000000000000,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,0.021484766,received,,,,,0,,0,XRP,0,Tipper NFT Faucet : MonkeyPUNKs,65BHO677YVD7ADPEBCP9Z3NEZTULORHZH5QW1CCTD2QSQ1LYN0UG0PI72UVL4JOV
3,1738599572,2025-02-03T16:19:32.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,0.000001  XRP ,0.000001,XRP,,2.59595E-06,received,,,,,0,,0,XRP,0,,TSAYJCEHAH37317SIDFNSML9J3JK5K1R0LO4ZACCN4LRINYVJQ51FD5WTE3V7H8W
4,1738599572,2025-02-03T16:19:32.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,0.000001  XRP ,0.000001,XRP,,2.59595E-06,received,,,,,0,,0,XRP,0,,6RTTSCPHIXRKKYZDBDP0DF6YWR3DQNL1I5JCJRF2XVM73NBO8742MEUQL3OWQJF9
5,1738599552,2025-02-03T16:19:12.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,"-7,323  OAR ",-7323,4F41520000000000000000000000000000000000,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,-0.194232103,sent,,,,,0,,0,XRP,0,,8DMKOGVVQBEZ8JVHVJKMM5RYVCT2KG8HCIJSN4HL6Q75NJW047SGK59QWSCESSL0
6,1738599552,2025-02-03T16:19:12.000Z,rMZ2ax5gQ2EKNmZ5U9GsdAd6cVxjcWKnKm,Payment,0.681001  XRP ,0.681001,XRP,,1.771726252,dex,,,,,0,0.000012  XRP ,0.000012,XRP,3.12198E-05,,8DMKOGVVQBEZ8JVHVJKMM5RYVCT2KG8HCIJSN4HL6Q75NJW047SGK59QWSCESSL0
7,1738599360,2025-02-03T16:16:00.000Z,rMZ2ax5gQ2EKNmZ5U9GsdAd6cVxjcWKnKm,Payment,"1,640  OAR ",1640,4F41520000000000000000000000000000000000,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,0.043383399,received,,,,,0,,0,XRP,0,Tipper NFT Faucet : PARC,ULNI8F3JPMIAJTYGEL15GDR6HKNW0WHJTUBGL4X48J84JZ6K838BU20D3DEI1VLS
8,1738599351,2025-02-03T16:15:51.000Z,rMZ2ax5gQ2EKNmZ5U9GsdAd6cVxjcWKnKm,Payment,801  OAR ,801,4F41520000000000000000000000000000000000,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,0.021103627,received,,,,,0,,0,XRP,0,Tipper NFT Faucet : MonkeyPUNKs,K18JHP469CK3I4F7U6F5V7ZPXRYA1CIIB96N69DYJAJ95E1SSV9RLEKZM3PFGKWN
9,1738505400,2025-02-02T14:10:00.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,"1,640  OAR ",1640,4F41520000000000000000000000000000000000,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,0.0462808,received,,,,,0,,0,XRP,0,Tipper NFT Faucet : PARC,RG3LNWM67GGZWK9PLOWYRRPQVJD834FICOQXFL45OQNZL8Y6IZSOCMSSML154OIS
10,1738505400,2025-02-02T14:10:00.000Z,rH6r5XeLrxVq3yRk7Gzqs7vTp4fwQMPu33,Payment,801  OAR ,801,4F41520000000000000000000000000000000000,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,0.02260422,received,,,,,0,,0,XRP,0,Tipper NFT Faucet : MonkeyPUNKs,M48LOH63MZSC77ONMPAKJHQ5SCI1VBN06OPVHLJMFDF5AU5BSDN14N9QOJEWO13L
